Epoch,Score,Tetrominoes,Cleared Lines
1162,21,23,0
1163,69,31,4
1164,41,33,1
1165,131,33,4
1166,110,42,5
1167,24,26,0
1168,76,38,4
1169,51,33,2
1170,29,31,0
1171,41,33,1
1172,29,21,1
1173,52,34,2
1174,26,28,0
1175,24,26,0
1176,57,39,2
1177,40,32,1
1178,27,29,0
1179,39,31,1
1180,49,41,1
1181,78,40,2
1182,28,30,0
1183,24,26,0
1184,78,40,2
1185,22,24,0
1186,42,34,1
1187,32,34,0
1188,62,34,3
1189,46,28,2
1190,29,31,0
1191,42,34,1
1192,28,30,0
1193,44,36,1
1194,22,24,0
1195,39,31,1
1196,34,36,0
1197,31,33,0
1198,24,26,0
1199,79,41,4
1200,26,28,0
1201,41,33,1
1202,88,40,3
1203,24,26,0
1204,36,28,1
1205,27,29,0
1206,29,31,0
1207,53,35,2
1208,20,22,0
1209,25,27,0
1210,52,34,2
1211,93,45,5
1212,40,32,1
1213,68,30,2
1214,25,27,0
1215,118,40,6
1216,94,46,5
1217,40,32,1
1218,16,18,0
1219,23,25,0
1220,23,25,0
1221,23,25,0
1222,28,30,0
1223,50,32,2
1224,31,23,1
1225,24,26,0
1226,24,26,0
1227,50,32,2
1228,63,35,3
1229,38,30,1
1230,43,35,1
1231,46,38,1
1232,23,25,0
1233,68,40,3
1234,42,34,1
1235,165,57,11
1236,24,26,0
1237,82,44,4
1238,49,31,2
1239,25,27,0
1240,31,23,1
1241,20,22,0
1242,101,43,6
1243,70,42,3
1244,57,39,2
1245,90,42,3
1246,63,35,3
1247,19,21,0
1248,55,37,2
1249,53,35,2
1250,42,34,1
1251,111,43,5
1252,72,34,2
1253,41,33,1
1254,34,26,1
1255,57,39,2
1256,38,30,1
1257,36,28,1
1258,39,31,1
1259,82,34,3
1260,86,38,5
1261,114,46,7
1262,51,33,2
1263,37,29,1
1264,101,43,4
1265,26,28,0
1266,19,21,0
1267,93,45,5
1268,42,34,1
1269,162,54,9
1270,36,28,1
1271,117,49,7
1272,57,39,2
1273,63,35,3
1274,97,39,4
1275,52,34,2
1276,61,33,3
1277,61,33,3
1278,61,33,3
1279,83,35,3
1280,26,28,0
1281,124,46,6
1282,212,54,8
1283,150,42,5
1284,42,34,1
1285,44,26,2
1286,24,26,0
1287,55,37,2
1288,67,39,3
1289,31,33,0
1290,29,31,0
1291,57,39,2
1292,73,45,3
1293,179,51,7
1294,38,30,1
1295,64,36,3
1296,27,29,0
1297,54,36,2
1298,43,35,1
1299,59,41,2
1300,33,35,0
1301,40,32,1
1302,28,30,0
1303,39,31,1
1304,38,30,1
1305,41,33,1
1306,38,30,1
1307,19,21,0
1308,30,32,0
1309,21,23,0
1310,36,28,1
1311,19,21,0
1312,128,40,3
1313,120,32,3
1314,55,37,2
1315,50,32,2
1316,30,32,0
1317,29,31,0
1318,28,30,0
1319,29,31,0
1320,33,35,0
1321,68,40,3
1322,42,34,1
1323,92,44,5
1324,58,40,2
1325,78,40,4
1326,105,47,6
1327,73,35,4
1328,136,58,8
1329,68,40,3
1330,23,25,0
1331,45,37,1
1332,27,29,0
1333,27,29,0
1334,58,40,2
1335,42,34,1
1336,79,41,4
1337,76,38,4
1338,90,42,5
1339,152,54,8
1340,63,35,3
1341,68,30,2
1342,113,45,5
1343,67,39,3
1344,51,33,2
1345,42,34,1
1346,75,37,4
1347,23,25,0
1348,23,25,0
